game_id,date,time,round,meet_seq,home_team,away_team,home_score,away_score,stadium,stadium_full,attendance,game_status,end_yn,broadcast,weekday,referee,weather,temperature,humidity,is_derby,day_of_week,is_weekend,month,season_half,home_rank_before,away_rank_before,home_points_before,away_points_before,home_played_before,away_played_before,rank_difference,home_is_upper_split,away_is_upper_split,home_is_lower_split,away_is_lower_split,home_is_relegation,away_is_relegation,home_relegation_danger,away_relegation_danger,home_is_acl,away_is_acl,home_split_group,away_split_group,home_detailed_group,away_detailed_group,is_cross_split,home_form_points,away_form_points,home_recent_wins,away_recent_wins,form_difference
1,2025-02-15,13:00,1,1,포항,대전,0,3,포항 스틸야드,포항 스틸야드,10519,FE,Y,skySports//COUPANGPLAY,토,이동준,맑음,-4,46,0,Saturday,1,2,상반기,14,5,0,0,0,0,9,0,1,1,0,0,0,1,0,0,0,하위스플릿,상위스플릿,강등권,상위권,1,0,0,0,0,0
2,2025-02-15,15:30,1,1,제주,서울,2,0,제주 월드컵,제주 월드컵 경기장,11049,FE,Y,skySports//COUPANGPLAY,토,최광호,맑음,2.7,32,0,Saturday,1,2,상반기,13,7,0,0,0,0,6,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등권,중위권,0,0,0,0,0,0
3,2025-02-15,16:30,1,1,광주,수원FC,0,0,광주 월드컵,광주 월드컵 경기장,4690,FE,Y,IB SPORTS//COUPANGPLAY,토,박병진,맑음,15,62,0,Saturday,1,2,상반기,4,9,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,상위스플릿,하위스플릿,상위권,중위권,1,0,0,0,0,0
4,2025-02-16,14:00,1,1,울산,안양,0,1,울산 문수,울산 문수 축구경기장,18718,FE,Y,skySports//COUPANGPLAY,일,김용우,맑음,5.2,38,0,Sunday,1,2,상반기,11,10,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,하위스플릿,하위스플릿,강등위기,강등위기,0,0,0,0,0,0
5,2025-02-16,16:30,1,1,전북,김천,2,1,전주 월드컵,전주 월드컵 경기장,19619,FE,Y,skySports//KFN//COUPANGPLAY,일,신용준,맑음,11,57,0,Sunday,1,2,상반기,11,7,0,0,0,0,4,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,0,0,0,0,0
6,2025-02-16,16:30,1,1,대구,강원,2,1,대구iM뱅크PARK,대구iM뱅크PARK,12240,FE,Y,IB SPORTS//COUPANGPLAY,일,설태환,맑음,12.1,34,0,Sunday,1,2,상반기,8,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,하위스플릿,하위스플릿,중위권,중위권,0,0,0,0,0,0
7,2025-02-22,14:00,2,1,제주,김천,2,3,제주 월드컵,제주 월드컵 경기장,5733,FE,Y,skySports//KFN//COUPANGPLAY,토,김우성,맑음,4,62,0,Saturday,1,2,상반기,2,11,3,0,1,1,9,1,0,0,1,0,0,0,1,1,0,상위스플릿,하위스플릿,ACL권,강등위기,1,3,0,1,0,3
8,2025-02-22,16:30,2,1,서울,안양,2,1,서울 월드컵,서울 월드컵 경기장,41415,FE,Y,skySports//COUPANGPLAY,토,고형진,맑음,0.9,34,1,Saturday,1,2,상반기,13,5,0,3,1,1,8,0,1,1,0,0,0,1,0,0,0,하위스플릿,상위스플릿,강등권,상위권,1,0,3,0,1,-3
9,2025-02-22,16:30,2,1,대구,수원FC,3,1,대구iM뱅크PARK,대구iM뱅크PARK,12098,FE,Y,IB SPORTS//COUPANGPLAY,토,김대용,맑음,4.4,21,0,Saturday,1,2,상반기,3,9,3,1,1,1,6,1,0,0,1,0,0,0,0,0,0,상위스플릿,하위스플릿,상위권,중위권,1,3,1,1,0,2
10,2025-02-23,14:00,2,1,대전,울산,0,2,대전 월드컵,대전 월드컵 경기장,19628,FE,Y,skySports//COUPANGPLAY,일,김종혁,눈,0.7,34,0,Sunday,1,2,상반기,2,13,3,0,1,1,11,1,0,0,1,0,0,0,1,1,0,상위스플릿,하위스플릿,ACL권,강등권,1,3,0,1,0,3
11,2025-02-23,16:30,2,1,전북,광주,2,2,전주 월드컵,전주 월드컵 경기장,15393,FE,Y,skySports//COUPANGPLAY,일,채상협,흐림,1,41,0,Sunday,1,2,상반기,5,9,3,1,1,1,4,1,0,0,1,0,0,0,0,0,0,상위스플릿,하위스플릿,상위권,중위권,1,3,1,1,0,2
12,2025-02-23,16:30,2,1,강원,포항,2,1,춘천 송암,춘천 송암 스포츠타운,6539,FE,Y,IB SPORTS//COUPANGPLAY,일,송민석,맑음,0.5,23,0,Sunday,1,2,상반기,13,14,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,하위스플릿,하위스플릿,강등권,강등권,0,0,0,0,0,0
13,2025-03-01,14:00,3,1,울산,전북,1,0,울산 문수,울산 문수 축구경기장,26317,FE,Y,skySports//COUPANGPLAY,토,김우성,흐림,17.1,41,1,Saturday,1,3,상반기,6,3,3,4,2,2,3,1,1,0,0,0,0,0,0,0,0,상위스플릿,상위스플릿,상위권,상위권,0,3,4,1,1,-1
14,2025-03-01,16:30,3,1,포항,대구,0,0,포항 스틸야드,포항 스틸야드,11207,FE,Y,IB SPORTS//COUPANGPLAY,토,김용우,흐림,17,41,1,Saturday,1,3,상반기,14,1,0,6,2,2,13,0,1,1,0,0,0,1,0,0,1,하위스플릿,상위스플릿,강등권,ACL권,1,0,6,0,2,-6
15,2025-03-01,16:30,3,1,광주,안양,2,1,광주 월드컵,광주 월드컵 경기장,3319,FE,Y,skySports//COUPANGPLAY,토,신용준,흐림,13,85,0,Saturday,1,3,상반기,10,8,2,3,2,2,2,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,2,3,0,1,-1
16,2025-03-02,14:00,3,1,대전,수원FC,1,0,대전 월드컵,대전 월드컵 경기장,7220,FE,Y,skySports//COUPANGPLAY,일,최광호,흐림,12.7,78,0,Sunday,1,3,상반기,6,11,3,1,2,2,5,1,0,0,1,0,0,0,1,0,0,상위스플릿,하위스플릿,상위권,강등위기,1,3,1,1,0,2
17,2025-03-02,16:30,3,1,강원,제주,0,0,춘천 송암,춘천 송암 스포츠타운,5009,FE,Y,IB SPORTS//COUPANGPLAY,일,이동준,비,8.6,62,0,Sunday,1,3,상반기,8,6,3,3,2,2,2,0,1,1,0,0,0,0,0,0,0,하위스플릿,상위스플릿,중위권,상위권,1,3,3,1,1,0
18,2025-03-03,14:00,3,1,서울,김천,0,0,서울 월드컵,서울 월드컵 경기장,24889,FE,Y,SBS//skySports//COUPANGPLAY,월,설태환,맑음,4.9,48,0,Monday,0,3,상반기,10,8,3,3,2,2,2,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,3,3,1,1,0
19,2025-03-08,14:00,4,1,수원FC,서울,0,0,수원 종합,수원 종합 운동장,8661,FE,Y,skySports//COUPANGPLAY,토,채상협,맑음,9.1,30,1,Saturday,1,3,상반기,11,9,1,4,3,3,2,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,1,4,0,1,-3
20,2025-03-08,16:30,4,1,대구,대전,1,2,대구iM뱅크PARK,대구iM뱅크PARK,12168,FE,Y,skySports//COUPANGPLAY,토,고형진,흐림,10.4,49,0,Saturday,1,3,상반기,1,2,7,6,3,3,1,1,1,0,0,0,0,0,0,1,1,상위스플릿,상위스플릿,ACL권,ACL권,0,7,6,2,2,1
21,2025-03-08,16:30,4,1,안양,김천,1,3,안양 종합,안양 종합 운동장,13579,FE,Y,IB SPORTS//KFN//COUPANGPLAY,토,김대용,맑음,10,25,0,Saturday,1,3,상반기,10,7,3,4,3,3,3,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,3,4,1,1,-1
22,2025-03-09,14:00,4,1,울산,제주,2,0,울산 문수,울산 문수 축구경기장,16749,FE,Y,skySports//COUPANGPLAY,일,송민석,맑음,11.2,32,0,Sunday,1,3,상반기,4,7,6,4,3,3,3,1,0,0,1,0,0,0,0,0,0,상위스플릿,하위스플릿,상위권,중위권,1,6,4,2,1,2
24,2025-03-09,16:30,4,1,전북,강원,0,1,전주 월드컵,전주 월드컵 경기장,14090,FE,Y,skySports//COUPANGPLAY,일,김종혁,맑음,13,38,0,Sunday,1,3,상반기,7,8,4,4,3,3,1,0,0,1,1,0,0,0,0,0,0,하위스플릿,하위스플릿,중위권,중위권,0,4,4,1,1,0
