game_id,date,time,round,meet_seq,home_team,away_team,home_score,away_score,stadium,stadium_full,attendance,game_status,end_yn,broadcast,weekday,referee,weather,temperature,humidity,is_derby,day_of_week,is_weekend,month,season_half,home_rank_before,away_rank_before,home_points_before,away_points_before,home_played_before,away_played_before,rank_difference,home_is_upper_split,away_is_upper_split,home_is_lower_split,away_is_lower_split,home_is_relegation,away_is_relegation,home_relegation_danger,away_relegation_danger,home_is_acl,away_is_acl,home_split_group,away_split_group,home_detailed_group,away_detailed_group,is_cross_split,home_form_points,away_form_points,home_recent_wins,away_recent_wins,form_difference
1,2024-03-01,14:00,1,1,울산,포항,1,0,울산 문수,울산 문수 축구경기장,28683,FE,Y,JTBC G&S//쿠팡플레이,금,김우성,흐리고 비,3,87,1,Friday,0,3,상반기,9,14,0,0,0,0,5,0,0,1,1,0,0,0,1,0,0,하위스플릿,하위스플릿,중위권,강등권,0,0,0,0,0,0
2,2024-03-01,16:30,1,1,전북,대전,1,1,전주 월드컵,전주 월드컵 경기장,24758,FE,Y,skySports//쿠팡플레이,금,정동식,흐림,9.4,69,0,Friday,0,3,상반기,11,6,0,0,0,0,5,0,1,1,0,0,0,1,0,0,0,하위스플릿,상위스플릿,강등위기,상위권,1,0,0,0,0,0
3,2024-03-02,14:00,1,1,광주,서울,2,0,광주 전용,광주 축구 전용경기장,7805,FE,Y,skySports//쿠팡플레이,토,박병진,흐림,11.6,51,0,Saturday,1,3,상반기,5,8,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,상위스플릿,하위스플릿,상위권,중위권,1,0,0,0,0,0
4,2024-03-02,16:30,1,1,인천,수원FC,0,1,인천 전용,인천 축구 전용경기장,15060,FE,Y,JTBC G&S//쿠팡플레이,토,신용준,맑음,5,52,0,Saturday,1,3,상반기,10,9,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,0,0,0,0,0
5,2024-03-02,16:30,1,1,강원,제주,1,1,춘천 송암,춘천 송암 스포츠타운,6021,FE,Y,skySports//쿠팡플레이,토,고형진,흐림,1.4,47,0,Saturday,1,3,상반기,6,10,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,상위스플릿,하위스플릿,상위권,강등위기,1,0,0,0,0,0
6,2024-03-03,14:00,1,1,대구,김천,0,1,DGB대구은행파크,DGB대구은행파크,12133,FE,Y,IB SPORTS//쿠팡플레이,일,김대용,맑음,9.5,44,0,Sunday,1,3,상반기,9,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,하위스플릿,하위스플릿,중위권,중위권,0,0,0,0,0,0
7,2024-03-09,14:00,2,1,수원FC,전북,1,1,수원 종합,수원 종합 운동장,9557,FE,Y,SBS//JTBC G&S//쿠팡플레이,토,채상협,맑음,4.9,32,1,Saturday,1,3,상반기,3,7,3,1,1,1,4,1,0,0,1,0,0,0,0,0,0,상위스플릿,하위스플릿,상위권,중위권,1,3,1,1,0,2
8,2024-03-09,16:30,2,1,포항,대구,3,1,포항 스틸야드,포항 스틸야드,10930,FE,Y,JTBC G&S//쿠팡플레이,토,박병진,맑음,7,40,1,Saturday,1,3,상반기,13,11,0,0,1,1,2,0,0,1,1,0,0,1,1,0,0,하위스플릿,하위스플릿,강등권,강등위기,0,0,0,0,0,0
9,2024-03-09,16:30,2,1,김천,울산,2,3,김천 종합,김천 종합 운동장,5852,FE,Y,skySports//쿠팡플레이,토,김용우,맑음,10.4,19,0,Saturday,1,3,상반기,4,5,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,상위스플릿,상위스플릿,상위권,상위권,0,3,3,1,1,0
10,2024-03-10,14:00,2,1,제주,대전,3,1,제주 월드컵,제주 월드컵 경기장,9083,FE,Y,skySports//쿠팡플레이,일,이동준,맑음,13.5,41,0,Sunday,1,3,상반기,9,8,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,하위스플릿,하위스플릿,중위권,중위권,0,1,1,0,0,0
12,2024-03-10,16:00,2,1,서울,인천,0,0,서울 월드컵,서울 월드컵 경기장,51670,FE,Y,MBC//skySports//쿠팡플레이,일,김종혁,맑음,10.4,22,1,Sunday,1,3,상반기,13,12,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,하위스플릿,하위스플릿,강등권,강등권,0,0,0,0,0,0
