game_id,date,time,round,meet_seq,home_team,away_team,home_score,away_score,stadium,stadium_full,attendance,game_status,end_yn,broadcast,weekday,referee,weather,temperature,humidity,is_derby,day_of_week,is_weekend,month,season_half,home_rank_before,away_rank_before,home_points_before,away_points_before,home_played_before,away_played_before,rank_difference,home_is_upper_split,away_is_upper_split,home_is_lower_split,away_is_lower_split,home_is_relegation,away_is_relegation,home_relegation_danger,away_relegation_danger,home_is_acl,away_is_acl,home_split_group,away_split_group,home_detailed_group,away_detailed_group,is_cross_split,home_form_points,away_form_points,home_recent_wins,away_recent_wins,form_difference
1,2023-02-25,14:00,1,1,울산,전북,2,1,울산 문수,울산 문수 축구경기장,28039,FE,Y,skySports//쿠팡플레이,토,박병진,흐림,13,67,1,Saturday,1,2,상반기,10,12,0,0,0,0,2,0,0,1,1,0,1,1,1,0,0,하위스플릿,하위스플릿,강등위기,강등권,0,0,0,0,0,0
2,2023-02-25,16:30,1,1,서울,인천,2,1,서울 월드컵,서울 월드컵 경기장,22204,FE,Y,JTBC G&S//쿠팡플레이,토,정동식,흐림,9,95,1,Saturday,1,2,상반기,8,11,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,하위스플릿,하위스플릿,중위권,강등위기,0,0,0,0,0,0
3,2023-02-25,16:30,1,1,수원,광주,0,1,수원 월드컵,수원 월드컵 경기장,10348,FE,Y,skySports//쿠팡플레이,토,채상협,흐림,15.1,76,0,Saturday,1,2,상반기,9,4,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,하위스플릿,상위스플릿,중위권,상위권,1,0,0,0,0,0
5,2023-02-26,14:00,1,1,제주,수원FC,0,0,제주 월드컵,제주 월드컵 경기장,8362,FE,Y,JTBC G&S//쿠팡플레이,일,김영수,맑음,8,44,0,Sunday,1,2,상반기,10,9,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,0,0,0,0,0
4,2023-02-26,14:30,1,1,포항,대구,3,2,포항 스틸야드,포항 스틸야드,14089,FE,Y,skySports//쿠팡플레이,일,이동준,맑음,19.2,47,1,Sunday,1,2,상반기,11,8,0,0,0,0,3,0,0,1,1,0,0,1,0,0,0,하위스플릿,하위스플릿,강등위기,중위권,0,0,0,0,0,0
6,2023-02-26,16:30,1,1,대전,강원,2,0,대전 월드컵,대전 월드컵 경기장,18590,FE,Y,IB SPORTS//쿠팡플레이,일,신용준,맑음,8.3,19,0,Sunday,1,2,상반기,9,7,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,하위스플릿,하위스플릿,중위권,중위권,0,0,0,0,0,0
7,2023-03-04,14:00,2,1,인천,대전,3,3,인천 전용,인천 축구 전용경기장,10011,FE,Y,JTBC G&S//쿠팡플레이,토,최현재,맑음,9.4,62,0,Saturday,1,3,상반기,11,1,0,3,1,1,10,0,1,1,0,0,0,1,0,0,1,하위스플릿,상위스플릿,강등위기,ACL권,1,0,3,0,1,-3
8,2023-03-04,14:00,2,1,수원FC,포항,1,2,수원 종합,수원 종합 운동장,7155,FE,Y,skySports//쿠팡플레이,토,김용우,맑음,10,50,0,Saturday,1,3,상반기,6,2,1,3,1,1,4,1,1,0,0,0,0,0,0,0,1,상위스플릿,상위스플릿,상위권,ACL권,0,1,3,0,1,-2
9,2023-03-04,16:30,2,1,대구,제주,1,1,DGB대구은행파크,DGB대구은행파크,10851,FE,Y,skySports//쿠팡플레이,토,고형진,흐림,14,32,0,Saturday,1,3,상반기,11,6,0,1,1,1,5,0,1,1,0,0,0,1,0,0,0,하위스플릿,상위스플릿,강등위기,상위권,1,0,1,0,0,-1
10,2023-03-05,14:00,2,1,전북,수원,1,1,전주 월드컵,전주 월드컵 경기장,19660,FE,Y,skySports//쿠팡플레이,일,김종혁,맑음,15,32,1,Sunday,1,3,상반기,12,13,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,하위스플릿,하위스플릿,강등권,강등권,0,0,0,0,0,0
